Set Temperature;Actual Temperature;Voltage;Current
20;24.585;2099.996931608068;0.0030683919321745634
30;24.585;49.99749941867776;0.0025005813222378492
20;24.585;49.99749941867776;0.0025005813222378492
30;24.588;50.0;0.0
30;24.591;100.0;0.0
30;24.591;149.9999999610552;3.8944779845451194e-08
30;24.593;199.9999999610552;3.8944779845451194e-08
30;24.593;249.999999943077;5.692299254178579e-08
30;24.595;299.999999943077;5.692299254178579e-08
30;24.595;349.99999992915997;7.084001651946892e-08
30;24.595;399.99999992915997;7.084001651946892e-08
30;24.598;449.99999991668096;8.331904410852076e-08
30;24.598;499.99999991668096;8.331904410852076e-08
30;24.598;549.9999999079233;9.207669648958472e-08
30;24.598;599.9999999079233;9.207669648958472e-08
30;24.599;649.9999998977096;1.0229039304476828e-07
30;24.599;699.9999998977096;1.0229039304476828e-07
30;24.599;749.9999998940636;1.0593630861421843e-07
30;24.601;799.9999998652502;1.3474981130912056e-07
30;24.601;849.9999998652502;1.3474981130912056e-07
30;24.601;899.9999998837073;1.1629268925616998e-07
30;24.602;949.9999998837073;1.1629268925616998e-07
30;24.602;999.9999998704366;1.295633751396963e-07
30;24.602;1049.9999998491146;1.508853557652401e-07
30;24.602;1099.9999998491146;1.508853557652401e-07
30;24.602;1149.9999997824978;2.1750216205873585e-07
30;24.603;1199.9999997824978;2.1750216205873585e-07
30;24.603;1249.9999998469577;1.5304227929391345e-07
30;24.604;1299.9999998165802;1.83419913923899e-07
30;24.604;1349.9999998165802;1.83419913923899e-07
30;24.605;1399.999999774611;2.253888453651598e-07
30;24.605;1449.999999774611;2.253888453651598e-07
30;24.605;1499.9999998088745;1.9112546567612299e-07
30;24.604;1549.9999997749733;2.250266106784693e-07
30;24.604;1599.9999997749733;2.250266106784693e-07
30;24.607;1649.9999996923527;3.076472410157294e-07
30;24.607;1699.9999996923527;3.076472410157294e-07
30;24.607;1749.9999997398374;2.601626079012931e-07
30;24.607;1799.9999996717222;3.2827773566168617e-07
30;24.607;1849.9999996717222;3.2827773566168617e-07
30;24.607;1899.9999995357061;4.642938904453331e-07
30;24.607;1949.9999995357061;4.642938904453331e-07
30;24.609;1999.9999994589305;5.410694825513929e-07
30;24.61;2049.9999918002695;8.199730473279487e-06
30;24.61;2099.999340605922;0.0006593940779566765
20;24.609;49.99500082153827;0.00499917846173048
