Set Temperature;Actual Temperature;Voltage;Current
20;24.458;49.99999998633832;1.366168511651722e-08
20;24.458;49.99999998474438;1.525562431936578e-08
20;24.458;99.99999998474438;1.525562431936578e-08
20;24.458;99.99999983118441;1.6881558906334249e-07
20;24.458;149.99999983118443;1.6881558906334249e-07
20;24.458;149.99999983118443;1.6881558906334249e-07
20;24.459;199.99999983118443;1.6881558906334249e-07
20;24.459;199.99999994158156;5.841843986331696e-08
20;24.459;249.99999994158156;5.841843986331696e-08
20;24.459;249.9999997954392;2.0456079141695227e-07
20;24.459;299.9999997954392;2.0456079141695227e-07
20;24.459;299.9999997954392;2.0456079141695227e-07
20;24.458;349.9999997954392;2.0456079141695227e-07
20;24.458;349.99999992377735;7.622264774909127e-08
20;24.458;399.99999992377735;7.622264774909127e-08
20;24.459;399.9999997963283;2.0367168929169566e-07
20;24.459;449.9999997963283;2.0367168929169566e-07
20;24.459;449.9999997963283;2.0367168929169566e-07
20;24.459;499.9999997963283;2.0367168929169566e-07
20;24.459;499.9999999089033;9.109670173756967e-08
20;24.459;549.9999999089033;9.109670173756967e-08
20;24.462;549.9999999089033;9.109670173756967e-08
20;24.462;599.9999998364697;1.6353037324279285e-07
20;24.462;599.9999998364697;1.6353037324279285e-07
20;24.461;649.9999998959901;1.0400989935988036e-07
20;24.461;649.9999998959901;1.0400989935988036e-07
20;24.461;699.9999998959901;1.0400989935988036e-07
20;24.462;699.999999886457;1.1354305939903497e-07
20;24.462;749.999999886457;1.1354305939903497e-07
20;24.462;749.999999886457;1.1354305939903497e-07
20;24.462;799.999999869531;1.3046896185642254e-07
20;24.462;799.999999869531;1.3046896185642254e-07
20;24.463;849.999999869531;1.3046896185642254e-07
20;24.463;849.9999998883175;1.1168255298343865e-07
20;24.463;899.9999998883175;1.1168255298343865e-07
20;24.463;899.9999998785208;1.2147914674187632e-07
20;24.463;949.9999998785208;1.2147914674187632e-07
20;24.463;949.9999998785208;1.2147914674187632e-07
20;24.464;999.9999998592734;1.4072655574182136e-07
20;24.464;999.9999998592734;1.4072655574182136e-07
20;24.465;1049.9999998592734;1.4072655574182136e-07
20;24.465;1049.999999860887;1.3911298424318375e-07
20;24.465;1099.999999860887;1.3911298424318375e-07
20;24.466;1099.999999860887;1.3911298424318375e-07
20;24.466;1149.9999998130731;1.8692693970479013e-07
20;24.466;1149.9999998130731;1.8692693970479013e-07
